,0,1
0,PH,PKG
1,ADI,LH
2,CRM,RHT
3,ED,MAS
4,BBY,JBHT
5,GLW,USB
6,SYY,TSN
7,D,HCA
8,HRL,NOV
9,ADP,MMC
10,AET,EA
11,DISH,SLG
12,EXPD,MAS
13,ECL,TMK
14,CDNS,EXPD
15,BDX,CTAS
16,MRK,SRE
17,CL,UDR
18,CL,MAS
19,AEE,PEP
20,BRK.B,MAR
21,MAS,SYY
22,CA,CL
23,CB,GPN
24,BBT,FITB
25,K,T
26,D,SCHW
27,EXC,UNM
28,HSY,WY
29,ADP,IT
30,BXP,GPC
31,FIS,IFF
32,CMA,MTB
33,HCP,RHT
34,HSY,PRU
35,CB,TXN
36,ADM,SLG
37,ALL,TEL
38,BF.B,VLO
39,CL,INCY
40,HSY,LKQ
41,ECL,LUV
42,MNST,PEG
43,HON,TXN
44,BAC,BBT
45,HSY,USB
46,FFIV,UAL
47,ACN,AVY
48,NBL,OXY
49,EA,MHK
50,SWK,TXN
51,MMC,PEP
52,EMN,MU
53,GWW,OXY
54,HSY,PBCT
55,LH,UNH
56,SEE,WBA
57,HSY,MGM
58,CL,MGM
59,ADP,BBY
60,CL,INTC
61,MU,PX
62,PEP,RSG
63,CHRW,CSCO
64,GGP,KR
65,ATVI,AVY
66,IT,LUV
67,CTXS,GPN
68,FBHS,MOS
69,CA,ZION
70,COST,GPN
71,HSY,IP
72,AMT,ATVI
73,CL,GLW
74,NDAQ,PEP
75,AIG,SBUX
76,MOS,XRAY
77,MAC,SPG
78,KO,PEG
79,EQR,JEC
80,FBHS,PEP
81,AOS,PEP
82,CCI,PAYX
83,D,UDR
84,CBOE,MSI
85,OXY,SBUX
86,D,MAS
87,CCI,MAS
88,ALXN,GILD
89,EQR,HBI
90,BAX,CVX
91,CRM,VRSN
92,CA,PHM
93,ADP,SCHW
94,CBS,HSY
95,CCI,SYY
96,COF,LNC
97,NTRS,ZTS
98,CCI,STI
99,ADP,ETFC
100,ADP,ATVI
101,AEP,MAS
102,BBT,MS
103,PG,SYMC
104,COST,CRM
105,EMN,PX
106,COST,HUM
107,ATVI,LH
108,ADBE,BLK
109,GGP,PDCO
110,HSIC,KMB
111,D,TJX
112,AMT,APH
113,ESS,SWKS
