"","Name","open","date"
"12591","ADP",60.71,"2013-02-08"
"12592","ADP",60.79,"2013-02-11"
"12593","ADP",60.24,"2013-02-12"
"12594","ADP",60.56,"2013-02-13"
"12595","ADP",60.25,"2013-02-14"
"12596","ADP",61.26,"2013-02-15"
"12597","ADP",61.22,"2013-02-19"
"12598","ADP",61.43,"2013-02-20"
"12599","ADP",61.16,"2013-02-21"
"12600","ADP",60.71,"2013-02-22"
"12601","ADP",61.48,"2013-02-25"
"12602","ADP",61.12,"2013-02-26"
"12603","ADP",60.86,"2013-02-27"
"12604","ADP",61.7,"2013-02-28"
"12605","ADP",61.29,"2013-03-01"
"12606","ADP",61.32,"2013-03-04"
"12607","ADP",62,"2013-03-05"
"12608","ADP",62.54,"2013-03-06"
"12609","ADP",62.48,"2013-03-07"
"12610","ADP",63.26,"2013-03-08"
"12611","ADP",63.38,"2013-03-11"
"12612","ADP",63.86,"2013-03-12"
"12613","ADP",64,"2013-03-13"
"12614","ADP",64.2,"2013-03-14"
"12615","ADP",64.67,"2013-03-15"
"12616","ADP",63.87,"2013-03-18"
"12617","ADP",64.31,"2013-03-19"
"12618","ADP",64.65,"2013-03-20"
"12619","ADP",63.98,"2013-03-21"
"12620","ADP",64,"2013-03-22"
"12621","ADP",64.45,"2013-03-25"
"12622","ADP",64.04,"2013-03-26"
"12623","ADP",64.4,"2013-03-27"
"12624","ADP",64.5,"2013-03-28"
"12625","ADP",64.66,"2013-04-01"
"12626","ADP",65.15,"2013-04-02"
"12627","ADP",65.26,"2013-04-03"
"12628","ADP",64.85,"2013-04-04"
"12629","ADP",64.1,"2013-04-05"
"12630","ADP",63.69,"2013-04-08"
"12631","ADP",64.35,"2013-04-09"
"12632","ADP",64.44,"2013-04-10"
"12633","ADP",65.64,"2013-04-11"
"12634","ADP",66.13,"2013-04-12"
"12635","ADP",65.8,"2013-04-15"
"12636","ADP",64.71,"2013-04-16"
"12637","ADP",64.82,"2013-04-17"
"12638","ADP",65.83,"2013-04-18"
"12639","ADP",64.37,"2013-04-19"
"12640","ADP",65.21,"2013-04-22"
"12641","ADP",65.94,"2013-04-23"
"12642","ADP",66.7,"2013-04-24"
"12643","ADP",66.93,"2013-04-25"
"12644","ADP",66.76,"2013-04-26"
"12645","ADP",66.55,"2013-04-29"
"12646","ADP",66.99,"2013-04-30"
"12647","ADP",67.39,"2013-05-01"
"12648","ADP",66.83,"2013-05-02"
"12649","ADP",68.52,"2013-05-03"
"12650","ADP",69.16,"2013-05-06"
"12651","ADP",68.82,"2013-05-07"
"12652","ADP",68.64,"2013-05-08"
"12653","ADP",68.89,"2013-05-09"
"12654","ADP",70.12,"2013-05-10"
"12655","ADP",69.78,"2013-05-13"
"12656","ADP",70.2,"2013-05-14"
"12657","ADP",70.85,"2013-05-15"
"12658","ADP",71.52,"2013-05-16"
"12659","ADP",71.46,"2013-05-17"
"12660","ADP",72,"2013-05-20"
"12661","ADP",71.03,"2013-05-21"
"12662","ADP",71.09,"2013-05-22"
"12663","ADP",69.91,"2013-05-23"
"12664","ADP",69.67,"2013-05-24"
"12665","ADP",70.5,"2013-05-28"
"12666","ADP",70,"2013-05-29"
"12667","ADP",70.01,"2013-05-30"
"12668","ADP",69.43,"2013-05-31"
"12669","ADP",68.66,"2013-06-03"
"12670","ADP",69.45,"2013-06-04"
"12671","ADP",68.63,"2013-06-05"
"12672","ADP",67.68,"2013-06-06"
"12673","ADP",68.51,"2013-06-07"
"12674","ADP",68.96,"2013-06-10"
"12675","ADP",68.33,"2013-06-11"
"12676","ADP",68.25,"2013-06-12"
"12677","ADP",67.33,"2013-06-13"
"12678","ADP",68.05,"2013-06-14"
"12679","ADP",68.56,"2013-06-17"
"12680","ADP",68.67,"2013-06-18"
"12681","ADP",69.08,"2013-06-19"
"12682","ADP",68.44,"2013-06-20"
"12683","ADP",68.68,"2013-06-21"
"12684","ADP",68.42,"2013-06-24"
"12685","ADP",69.16,"2013-06-25"
"12686","ADP",69.5,"2013-06-26"
"12687","ADP",69.68,"2013-06-27"
"12688","ADP",68.91,"2013-06-28"
"12689","ADP",68.83,"2013-07-01"
"12690","ADP",69.79,"2013-07-02"
"12691","ADP",69.69,"2013-07-03"
"12692","ADP",70.64,"2013-07-05"
"12693","ADP",70.88,"2013-07-08"
"12694","ADP",71,"2013-07-09"
"12695","ADP",70.86,"2013-07-10"
"12696","ADP",72.22,"2013-07-11"
"12697","ADP",71.99,"2013-07-12"
"12698","ADP",73.25,"2013-07-15"
"12699","ADP",72.54,"2013-07-16"
"12700","ADP",72.67,"2013-07-17"
"12701","ADP",72.67,"2013-07-18"
"12702","ADP",73.14,"2013-07-19"
"12703","ADP",73.79,"2013-07-22"
"12704","ADP",73.17,"2013-07-23"
"12705","ADP",72.95,"2013-07-24"
"12706","ADP",72.18,"2013-07-25"
"12707","ADP",72.05,"2013-07-26"
"12708","ADP",72.16,"2013-07-29"
"12709","ADP",72.69,"2013-07-30"
"12710","ADP",72.62,"2013-07-31"
"12711","ADP",70.51,"2013-08-01"
"12712","ADP",71.22,"2013-08-02"
"12713","ADP",71.53,"2013-08-05"
"12714","ADP",71.48,"2013-08-06"
"12715","ADP",72.11,"2013-08-07"
"12716","ADP",72.36,"2013-08-08"
"12717","ADP",72.07,"2013-08-09"
"12718","ADP",72.01,"2013-08-12"
"12719","ADP",72.99,"2013-08-13"
"12720","ADP",72.84,"2013-08-14"
"12721","ADP",72.22,"2013-08-15"
"12722","ADP",71.47,"2013-08-16"
"12723","ADP",71.61,"2013-08-19"
"12724","ADP",71.79,"2013-08-20"
"12725","ADP",72.15,"2013-08-21"
"12726","ADP",72.01,"2013-08-22"
"12727","ADP",72.48,"2013-08-23"
"12728","ADP",69.89,"2013-08-26"
"12729","ADP",71.22,"2013-08-27"
"12730","ADP",71.12,"2013-08-28"
"12731","ADP",70.78,"2013-08-29"
"12732","ADP",71.29,"2013-08-30"
"12733","ADP",71.98,"2013-09-03"
"12734","ADP",70.09,"2013-09-04"
"12735","ADP",71.83,"2013-09-05"
"12736","ADP",72.45,"2013-09-06"
"12737","ADP",73.14,"2013-09-09"
"12738","ADP",74.38,"2013-09-10"
"12739","ADP",73.36,"2013-09-11"
"12740","ADP",73.91,"2013-09-12"
"12741","ADP",74.23,"2013-09-13"
"12742","ADP",74.85,"2013-09-16"
"12743","ADP",74.24,"2013-09-17"
"12744","ADP",74.17,"2013-09-18"
"12745","ADP",74.89,"2013-09-19"
"12746","ADP",74.76,"2013-09-20"
"12747","ADP",74.2,"2013-09-23"
"12748","ADP",72.45,"2013-09-24"
"12749","ADP",73.09,"2013-09-25"
"12750","ADP",72.83,"2013-09-26"
"12751","ADP",72.705,"2013-09-27"
"12752","ADP",72.31,"2013-09-30"
"12753","ADP",72.58,"2013-10-01"
"12754","ADP",72,"2013-10-02"
"12755","ADP",71.71,"2013-10-03"
"12756","ADP",71.26,"2013-10-04"
"12757","ADP",70.89,"2013-10-07"
"12758","ADP",71.14,"2013-10-08"
"12759","ADP",70.25,"2013-10-09"
"12760","ADP",70.84,"2013-10-10"
"12761","ADP",71.26,"2013-10-11"
